pokedex number,english name,katakana,romaji
#0152,Chikorita,チコリータ,Chikorīta
#0153,Bayleef,ベイリーフ,Beirīfu
#0154,Meganium,メガニウム,Meganiumu
#0155,Cyndaquil,ヒノアラシ,Hinoarashi
#0156,Quilava,マグマラシ,Magumarashi
#0157,Typhlosion,バクフーン,Bakufūn
#0158,Totodile,ワニノコ,Waninoko
#0159,Croconaw,アリゲイツ,Arigeitsu
#0160,Feraligatr,オーダイル,Ōdairu
#0161,Sentret,オタチ,Otachi
#0162,Furret,オオタチ,Ōtachi
#0163,Hoothoot,ホーホー,Hōhō
#0164,Noctowl,ヨルノズク,Yorunozuku
#0165,Ledyba,レディバ,Rediba
#0166,Ledian,レディアン,Redian
#0167,Spinarak,イトマル,Itomaru
#0168,Ariados,アリアドス,Ariadosu
#0169,Crobat,クロバット,Kurobatto
#0170,Chinchou,チョンチー,Chonchī
#0171,Lanturn,ランターン,Rantān
#0172,Pichu,ピチュー,Pichū
#0173,Cleffa,ピィ,Pī
#0174,Igglybuff,ププリン,Pupurin
#0175,Togepi,トゲピー,Togepī
#0176,Togetic,トゲチック,Togechikku
#0177,Natu,ネイティ,Neiti
#0178,Xatu,ネイティオ,Neitio
#0179,Mareep,メリープ,Merīpu
#0180,Flaaffy,モココ,Mokoko
#0181,Ampharos,デンリュウ,Denryū
#0182,Bellossom,キレイハナ,Kireihana
#0183,Marill,マリル,Mariru
#0184,Azumarill,マリルリ,Mariruri
#0185,Sudowoodo,ウソッキー,Usokkī
#0186,Politoed,ニョロトノ,Nyorotono
#0187,Hoppip,ハネッコ,Hanekko
#0188,Skiploom,ポポッコ,Popokko
#0189,Jumpluff,ワタッコ,Watakko
#0190,Aipom,エイパム,Eipamu
#0191,Sunkern,ヒマナッツ,Himanattsu
#0192,Sunflora,キマワリ,Kimawari
#0193,Yanma,ヤンヤンマ,Yan'yanma
#0194,Wooper,ウパー,Upā
#0195,Quagsire,ヌオー,Nuō
#0196,Espeon,エーフィ,Ēfi
#0197,Umbreon,ブラッキー,Burakkī
#0198,Murkrow,ヤミカラス,Yamikarasu
#0199,Slowking,ヤドキング,Yadokingu
#0200,Misdreavus,ムウマ,Mūma
#0201,Unown,アンノーン,Annōn
#0202,Wobbuffet,ソーナンス,Sōnansu
#0203,Girafarig,キリンリキ,Kirinriki
#0204,Pineco,クヌギダマ,Kunugidama
#0205,Forretress,フォレトス,Foretosu
#0206,Dunsparce,ノコッチ,Nokotchi
#0207,Gligar,グライガー,Guraigā
#0208,Steelix,ハガネール,Haganēru
#0209,Snubbull,ブルー,Burū
#0210,Granbull,グランブル,Guranburu
#0211,Qwilfish,ハリーセン,Harīsen
#0212,Scizor,ハッサム,Hassamu
#0213,Shuckle,ツボツボ,Tsubotsubo
#0214,Heracross,ヘラクロス,Herakurosu
#0215,Sneasel,ニューラ,Nyūra
#0216,Teddiursa,ヒメグマ,Himeguma
#0217,Ursaring,リングマ,Ringuma
#0218,Slugma,マグマッグ,Magumaggu
#0219,Magcargo,マグカルゴ,Magukarugo
#0220,Swinub,ウリムー,Urimū
#0221,Piloswine,イノムー,Inomū
#0222,Corsola,サニーゴ,Sanīgo
#0223,Remoraid,テッポウオ,Teppouo
#0224,Octillery,オクタン,Okutan
#0225,Delibird,デリバード,Deribādo
#0226,Mantine,マンタイン,Mantain
#0227,Skarmory,エアームド,Eāmudo
#0228,Houndour,デルビル,Derubiru
#0229,Houndoom,ヘルガー,Herugā
#0230,Kingdra,キングドラ,Kingudora
#0231,Phanpy,ゴマゾウ,Gomazō
#0232,Donphan,ドンファン,Donfan
#0233,Porygon2,ポリゴン２,Porigon Tsū
#0234,Stantler,オドシシ,Odoshishi
#0235,Smeargle,ドーブル,Dōburu
#0236,Tyrogue,バルキー,Barukī
#0237,Hitmontop,カポエラー,Kapoerā
#0238,Smoochum,ムチュール,Muchūru
#0239,Elekid,エレキッド,Erekiddo
#0240,Magby,ブビィ,Bubī
#0241,Miltank,ミルタンク,Mirutanku
#0242,Blissey,ハピナス,Hapinasu
#0243,Raikou,ライコウ,Raikō
#0244,Entei,エンテイ,Entei
#0245,Suicune,スイクン,Suikun
#0246,Larvitar,ヨーギラス,Yōgirasu
#0247,Pupitar,サナギラス,Sanagirasu
#0248,Tyranitar,バンギラス,Bangirasu
#0249,Lugia,ルギア,Rugia
#0250,Ho-Oh,ホウオウ,Hōō
#0251,Celebi,セレビィ,Serebī
